Quantify Compound Summary Report ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Printed Tue Aug 07 11:35:48 2018,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 1:  PFBA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Standard Concentration,RT,Area,IS Area,IS RT,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
5,JR_080218_10,500,Standard,481.5,,,1238.324,,,,,,,
6,JR_080218_11,be,Recovery,481.5,,,1562.961,,,,,,,
7,JR_080218_12,2000,Standard,1926,,,1155.182,,,,,,,
8,JR_080218_13,10000,Standard,9630,,,,,,,,,,
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,1622.956,,,,,,,
18,JR_080218_71,50,,,,,2158.678,,,,,,,
19,JR_080218_72,100,,,,,1498.04,,,,,,,
20,JR_080218_77,sblnk,,,,,1558.904,,,,,,,
21,JR_080218_78,20,Standard,19.26,,,1876.039,,,,,,,
22,JR_080218_79,20,Standard,19.26,,,1723.484,,,,,,,
23,JR_080218_80,50,Standard,48.15,,,1665.123,,,,,,,
24,JR_080218_81,100,Standard,96.3,,,1553.478,,,,,,,
,,,,,,,,,,,,,,
Compound 42:  FBSAA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,3268.387,,,,,,,
2,JR_080218_07,50,Standard,50,,,4401.509,,,,,,,
3,JR_080218_08,100,Standard,100,,,4152.183,,,,,,,
4,JR_080218_09,250,Standard,250,,,4071.459,,,,,,,
5,JR_080218_10,500,Standard,500,,,3987.628,,,,,,,
6,JR_080218_11,be,Recovery,500,,,4888.974,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,3691.025,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2446.801,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1653.354,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,1264.573,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,1223.95,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,365.76,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,182.016,,,,,,,
14,JR_080218_67,NG EDTA,,,,,1017.25,,,,,,,
15,JR_080218_68,NG PBS,,,,,962.843,,,,,,,
16,JR_080218_69,NG ???,,,,,1413.245,,,,,,,
17,JR_080218_70,sblnk,,,,,4682.988,,,,,,,
18,JR_080218_71,50,,,,,5440.448,,,,,,,
19,JR_080218_72,100,,,,,5039.837,,,,,,,
20,JR_080218_77,sblnk,,,,,4474.4,,,,,,,
21,JR_080218_78,20,Standard,20,,,4358.118,,,,,,,
22,JR_080218_79,20,Standard,20,10.08,23.864,4451.404,,0.005,bb,,,,2.893
23,JR_080218_80,50,Standard,50,,,4511.007,,,,,,,
24,JR_080218_81,100,Standard,100,,,3744.058,,,,,,,
,,,,,,,,,,,,,,
Compound 43:  FPeSAA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,3268.387,,,,,,,
2,JR_080218_07,50,Standard,50,,,4401.509,,,,,,,
3,JR_080218_08,100,Standard,100,,,4152.183,,,,,,,
4,JR_080218_09,250,Standard,250,,,4071.459,,,,,,,
5,JR_080218_10,500,Standard,500,,,3987.628,,,,,,,
6,JR_080218_11,be,Recovery,500,,,4888.974,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,3691.025,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2446.801,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1653.354,,,,,,,
10,JR_080218_63,NG tris n=1,,,11.32,16.036,1264.573,,0.013,bb,,,,1.998
11,JR_080218_64,NG tris n=2,,,,,1223.95,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,365.76,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,182.016,,,,,,,
14,JR_080218_67,NG EDTA,,,,,1017.25,,,,,,,
15,JR_080218_68,NG PBS,,,,,962.843,,,,,,,
16,JR_080218_69,NG ???,,,,,1413.245,,,,,,,
17,JR_080218_70,sblnk,,,,,4682.988,,,,,,,
18,JR_080218_71,50,,,,,5440.448,,,,,,,
19,JR_080218_72,100,,,,,5039.837,,,,,,,
20,JR_080218_77,sblnk,,,11.75,13.732,4474.4,,0.003,bb,,,,3.271
21,JR_080218_78,20,Standard,20,,,4358.118,,,,,,,
22,JR_080218_79,20,Standard,20,,,4451.404,,,,,,,
23,JR_080218_80,50,Standard,50,,,4511.007,,,,,,,
24,JR_080218_81,100,Standard,100,,,3744.058,,,,,,,
,,,,,,,,,,,,,,
Compound 44:  FHxSAA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,,,,,,,,
2,JR_080218_07,50,Standard,50,,,,,,,,,,
3,JR_080218_08,100,Standard,100,,,,,,,,,,
4,JR_080218_09,250,Standard,250,,,,,,,,,,
5,JR_080218_10,500,Standard,500,,,,,,,,,,
6,JR_080218_11,be,Recovery,500,,,,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,,,,,,,,
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,13.73,32.404,,,,bb,,,,8.491
11,JR_080218_64,NG tris n=2,,,13.1,27.637,,,,bb,,,,2.402
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,2577.487,,,,,,,
18,JR_080218_71,50,,,,,2873.041,,,,,,,
19,JR_080218_72,100,,,,,2582.865,,,,,,,
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,20,,,2882.344,,,,,,,
22,JR_080218_79,20,Standard,20,,,2432.465,,,,,,,
23,JR_080218_80,50,Standard,50,,,,,,,,,,
24,JR_080218_81,100,Standard,100,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 45:  FOSAA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,17.48,151.736,,,,bb,,,,0
2,JR_080218_07,50,Standard,50,,,,,,,,,,
3,JR_080218_08,100,Standard,100,17.48,2059.29,,,,bb,,,,1638.779
4,JR_080218_09,250,Standard,250,17.42,4404.246,,,,bb,,,,33.901
5,JR_080218_10,500,Standard,500,17.75,9921.004,,,,bb,,,,0
6,JR_080218_11,be,Recovery,500,,,,,,,,,,
7,JR_080218_12,2000,Standard,2000,17.51,25304.855,,,,bb,,,,15896.462
8,JR_080218_13,10000,Standard,10000,17.48,65776.281,,,,bb,,,,5240.299
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,2577.487,,,,,,,
18,JR_080218_71,50,,,17.28,1158.153,2873.041,,0.403,bbI,,,,198.749
19,JR_080218_72,100,,,17.37,1562.723,2582.865,,0.605,bbI,,,,510.025
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,20,17.28,294.968,2882.344,,0.102,bbI,,-100,0,2.397
22,JR_080218_79,20,Standard,20,17.34,172.975,2432.465,,0.071,bbI,,-100,0,106.987
23,JR_080218_80,50,Standard,50,17.37,653.169,,,,bb,,,,91.168
24,JR_080218_81,100,Standard,100,17.51,1455.793,,,,bb,,,,51.282
,,,,,,,,,,,,,,
Compound 46:  FHpSAA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,,Standard,20,,,,,,,,,,
2,JR_080218_07,,Standard,50,,,,,,,,,,
3,JR_080218_08,,Standard,100,,,,,,,,,,
4,JR_080218_09,,Standard,250,,,,,,,,,,
5,JR_080218_10,,Standard,500,,,,,,,,,,
6,JR_080218_11,,Recovery,500,,,,,,,,,,
7,JR_080218_12,,Standard,2000,,,,,,,,,,
8,JR_080218_13,,Standard,10000,,,,,,,,,,
9,JR_080218_62,,,,,,,,,,,,,
10,JR_080218_63,,,,,,,,,,,,,
11,JR_080218_64,,,,,,,,,,,,,
12,JR_080218_65,,,,,,,,,,,,,
13,JR_080218_66,,,,,,,,,,,,,
14,JR_080218_67,,,,,,,,,,,,,
15,JR_080218_68,,,,,,,,,,,,,
16,JR_080218_69,,,,,,,,,,,,,
17,JR_080218_70,,,,,,2577.487,,,,,,,
18,JR_080218_71,,,,,,2873.041,,,,,,,
19,JR_080218_72,,,,,,2582.865,,,,,,,
20,JR_080218_77,,,,,,,,,,,,,
21,JR_080218_78,,Standard,20,,,2882.344,,,,,,,
22,JR_080218_79,,Standard,20,,,2432.465,,,,,,,
23,JR_080218_80,,Standard,50,,,,,,,,,,
24,JR_080218_81,,Standard,100,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 47:  MeFBSAA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,3268.387,,,,,,,
2,JR_080218_07,50,Standard,50,,,4401.509,,,,,,,
3,JR_080218_08,100,Standard,100,,,4152.183,,,,,,,
4,JR_080218_09,250,Standard,250,,,4071.459,,,,,,,
5,JR_080218_10,500,Standard,500,,,3987.628,,,,,,,
6,JR_080218_11,be,Recovery,500,,,4888.974,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,3691.025,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2446.801,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1653.354,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,1264.573,,,,,,,
11,JR_080218_64,NG tris n=2,,,11.04,16.783,1223.95,,0.014,bb,,,,4.31
12,JR_080218_65,NG tris n=3,,,,,365.76,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,182.016,,,,,,,
14,JR_080218_67,NG EDTA,,,,,1017.25,,,,,,,
15,JR_080218_68,NG PBS,,,,,962.843,,,,,,,
16,JR_080218_69,NG ???,,,,,1413.245,,,,,,,
17,JR_080218_70,sblnk,,,,,4682.988,,,,,,,
18,JR_080218_71,50,,,,,5440.448,,,,,,,
19,JR_080218_72,100,,,,,5039.837,,,,,,,
20,JR_080218_77,sblnk,,,,,4474.4,,,,,,,
21,JR_080218_78,20,Standard,20,,,4358.118,,,,,,,
22,JR_080218_79,20,Standard,20,,,4451.404,,,,,,,
23,JR_080218_80,50,Standard,50,,,4511.007,,,,,,,
24,JR_080218_81,100,Standard,100,,,3744.058,,,,,,,
,,,,,,,,,,,,,,
Compound 48:  MeFPeSAA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,3268.387,,,,,,,
2,JR_080218_07,50,Standard,50,,,4401.509,,,,,,,
3,JR_080218_08,100,Standard,100,,,4152.183,,,,,,,
4,JR_080218_09,250,Standard,250,,,4071.459,,,,,,,
5,JR_080218_10,500,Standard,500,,,3987.628,,,,,,,
6,JR_080218_11,be,Recovery,500,,,4888.974,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,3691.025,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2446.801,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1653.354,,,,,,,
10,JR_080218_63,NG tris n=1,,,13.86,44.165,1264.573,,0.035,bb,,,,3.864
11,JR_080218_64,NG tris n=2,,,,,1223.95,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,365.76,,,,,,,
13,JR_080218_66,NG tris n=4,,,12.5,21.316,182.016,,0.117,bb,,,,2.877
14,JR_080218_67,NG EDTA,,,,,1017.25,,,,,,,
15,JR_080218_68,NG PBS,,,,,962.843,,,,,,,
16,JR_080218_69,NG ???,,,,,1413.245,,,,,,,
17,JR_080218_70,sblnk,,,,,4682.988,,,,,,,
18,JR_080218_71,50,,,,,5440.448,,,,,,,
19,JR_080218_72,100,,,,,5039.837,,,,,,,
20,JR_080218_77,sblnk,,,,,4474.4,,,,,,,
21,JR_080218_78,20,Standard,20,,,4358.118,,,,,,,
22,JR_080218_79,20,Standard,20,,,4451.404,,,,,,,
23,JR_080218_80,50,Standard,50,,,4511.007,,,,,,,
24,JR_080218_81,100,Standard,100,,,3744.058,,,,,,,
,,,,,,,,,,,,,,
Compound 49:  MeHxSAA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,,,,,,,,
2,JR_080218_07,50,Standard,50,,,,,,,,,,
3,JR_080218_08,100,Standard,100,,,,,,,,,,
4,JR_080218_09,250,Standard,250,,,,,,,,,,
5,JR_080218_10,500,Standard,500,,,,,,,,,,
6,JR_080218_11,be,Recovery,500,,,,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,,,,,,,,
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,2577.487,,,,,,,
18,JR_080218_71,50,,,,,2873.041,,,,,,,
19,JR_080218_72,100,,,,,2582.865,,,,,,,
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,20,,,2882.344,,,,,,,
22,JR_080218_79,20,Standard,20,,,2432.465,,,,,,,
23,JR_080218_80,50,Standard,50,,,,,,,,,,
24,JR_080218_81,100,Standard,100,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 50:  MeHpSAA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,,,,,,,,
2,JR_080218_07,50,Standard,50,,,,,,,,,,
3,JR_080218_08,100,Standard,100,,,,,,,,,,
4,JR_080218_09,250,Standard,250,,,,,,,,,,
5,JR_080218_10,500,Standard,500,,,,,,,,,,
6,JR_080218_11,be,Recovery,500,,,,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,,,,,,,,
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,16.9,11.652,,,,bb,,,,3.097
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,2577.487,,,,,,,
18,JR_080218_71,50,,,,,2873.041,,,,,,,
19,JR_080218_72,100,,,,,2582.865,,,,,,,
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,20,,,2882.344,,,,,,,
22,JR_080218_79,20,Standard,20,,,2432.465,,,,,,,
23,JR_080218_80,50,Standard,50,,,,,,,,,,
24,JR_080218_81,100,Standard,100,,,,,,,,,,
,,,,,,,,,,,,,,
Compound 51:  MeFOSAA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,18.98,133.057,,,,bb,,,,3.655
2,JR_080218_07,50,Standard,50,,,,,,,,,,
3,JR_080218_08,100,Standard,100,18.98,808.857,,,,bb,,,,134.425
4,JR_080218_09,250,Standard,250,18.9,2218.557,,,,bb,,,,0
5,JR_080218_10,500,Standard,500,19.16,4636.862,,,,bb,,,,0
6,JR_080218_11,be,Recovery,500,,,,,,,,,,
7,JR_080218_12,2000,Standard,2000,18.98,13542.862,,,,bb,,,,508.563
8,JR_080218_13,10000,Standard,10000,18.98,54682.18,,,,bb,,,,1631.126
9,JR_080218_62,NG pblnk,,,,,,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,,,,,,,,
14,JR_080218_67,NG EDTA,,,,,,,,,,,,
15,JR_080218_68,NG PBS,,,,,,,,,,,,
16,JR_080218_69,NG ???,,,,,,,,,,,,
17,JR_080218_70,sblnk,,,,,2577.487,,,,,,,
18,JR_080218_71,50,,,18.8,503.955,2873.041,,0.175,bbI,,,,0
19,JR_080218_72,100,,,18.82,554.03,2582.865,,0.215,bbI,,,,0
20,JR_080218_77,sblnk,,,,,,,,,,,,
21,JR_080218_78,20,Standard,20,18.75,60.302,2882.344,,0.021,bbI,,-100,0,42.097
22,JR_080218_79,20,Standard,20,18.8,86.119,2432.465,,0.035,bbI,,-100,0,14.278
23,JR_080218_80,50,Standard,50,18.88,332.331,,,,bb,,,,24.827
24,JR_080218_81,100,Standard,100,18.95,915.918,,,,bb,,,,0
,,,,,,,,,,,,,,
Compound 52:  EtFBSAA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,3268.387,,,,,,,
2,JR_080218_07,50,Standard,50,,,4401.509,,,,,,,
3,JR_080218_08,100,Standard,100,,,4152.183,,,,,,,
4,JR_080218_09,250,Standard,250,,,4071.459,,,,,,,
5,JR_080218_10,500,Standard,500,,,3987.628,,,,,,,
6,JR_080218_11,be,Recovery,500,,,4888.974,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,3691.025,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2446.801,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1653.354,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,1264.573,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,1223.95,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,365.76,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,182.016,,,,,,,
14,JR_080218_67,NG EDTA,,,,,1017.25,,,,,,,
15,JR_080218_68,NG PBS,,,,,962.843,,,,,,,
16,JR_080218_69,NG ???,,,,,1413.245,,,,,,,
17,JR_080218_70,sblnk,,,,,4682.988,,,,,,,
18,JR_080218_71,50,,,,,5440.448,,,,,,,
19,JR_080218_72,100,,,,,5039.837,,,,,,,
20,JR_080218_77,sblnk,,,12.18,44.545,4474.4,,0.01,bb,,,,2.462
21,JR_080218_78,20,Standard,20,,,4358.118,,,,,,,
22,JR_080218_79,20,Standard,20,,,4451.404,,,,,,,
23,JR_080218_80,50,Standard,50,,,4511.007,,,,,,,
24,JR_080218_81,100,Standard,100,,,3744.058,,,,,,,
,,,,,,,,,,,,,,
Compound 53:  EtPeSAA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,3268.387,,,,,,,
2,JR_080218_07,50,Standard,50,,,4401.509,,,,,,,
3,JR_080218_08,100,Standard,100,,,4152.183,,,,,,,
4,JR_080218_09,250,Standard,250,,,4071.459,,,,,,,
5,JR_080218_10,500,Standard,500,,,3987.628,,,,,,,
6,JR_080218_11,be,Recovery,500,,,4888.974,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,3691.025,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,2446.801,,,,,,,
9,JR_080218_62,NG pblnk,,,,,1653.354,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,1264.573,,,MM-,,,,
11,JR_080218_64,NG tris n=2,,,,,1223.95,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,365.76,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,182.016,,,,,,,
14,JR_080218_67,NG EDTA,,,,,1017.25,,,,,,,
15,JR_080218_68,NG PBS,,,,,962.843,,,,,,,
16,JR_080218_69,NG ???,,,,,1413.245,,,,,,,
17,JR_080218_70,sblnk,,,,,4682.988,,,,,,,
18,JR_080218_71,50,,,,,5440.448,,,,,,,
19,JR_080218_72,100,,,,,5039.837,,,,,,,
20,JR_080218_77,sblnk,,,,,4474.4,,,,,,,
21,JR_080218_78,20,Standard,20,,,4358.118,,,,,,,
22,JR_080218_79,20,Standard,20,,,4451.404,,,,,,,
23,JR_080218_80,50,Standard,50,,,4511.007,,,,,,,
24,JR_080218_81,100,Standard,100,,,3744.058,,,,,,,
,,,,,,,,,,,,,,
Compound 54:  EtFHxSAA*,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,1970.215,,,,,,,
2,JR_080218_07,50,Standard,50,,,2530.878,,,,,,,
3,JR_080218_08,100,Standard,100,,,2267.45,,,,,,,
4,JR_080218_09,250,Standard,250,,,2411.099,,,,,,,
5,JR_080218_10,500,Standard,500,,,2506.355,,,,,,,
6,JR_080218_11,be,Recovery,500,,,23.242,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2001.425,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,1850.219,,,,,,,
9,JR_080218_62,NG pblnk,,,,,699.518,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,344.519,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,630.58,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,161.263,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,118.907,,,,,,,
14,JR_080218_67,NG EDTA,,,,,347.543,,,,,,,
15,JR_080218_68,NG PBS,,,,,401.935,,,,,,,
16,JR_080218_69,NG ???,,,,,686.93,,,,,,,
17,JR_080218_70,sblnk,,,,,2777.913,,,,,,,
18,JR_080218_71,50,,,,,3342.154,,,,,,,
19,JR_080218_72,100,,,,,2662.72,,,,,,,
20,JR_080218_77,sblnk,,,,,2985.646,,,,,,,
21,JR_080218_78,20,Standard,20,,,3196.947,,,,,,,
22,JR_080218_79,20,Standard,20,,,2877.08,,,,,,,
23,JR_080218_80,50,Standard,50,,,2605.7,,,,,,,
24,JR_080218_81,100,Standard,100,,,2171.916,,,,,,,
,,,,,,,,,,,,,,
Compound 55:  EtHpSAA *,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,1970.215,,,,,,,
2,JR_080218_07,50,Standard,50,,,2530.878,,,,,,,
3,JR_080218_08,100,Standard,100,18.84,13.836,2267.45,,0.006,bb,,,,2.063
4,JR_080218_09,250,Standard,250,,,2411.099,,,,,,,
5,JR_080218_10,500,Standard,500,,,2506.355,,,,,,,
6,JR_080218_11,be,Recovery,500,,,23.242,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2001.425,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,1850.219,,,,,,,
9,JR_080218_62,NG pblnk,,,,,699.518,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,344.519,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,630.58,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,161.263,,,,,,,
13,JR_080218_66,NG tris n=4,,,17.53,12.463,118.907,,0.105,bb,,,,2.933
14,JR_080218_67,NG EDTA,,,,,347.543,,,,,,,
15,JR_080218_68,NG PBS,,,,,401.935,,,,,,,
16,JR_080218_69,NG ???,,,,,686.93,,,,,,,
17,JR_080218_70,sblnk,,,,,2777.913,,,,,,,
18,JR_080218_71,50,,,,,3342.154,,,,,,,
19,JR_080218_72,100,,,,,2662.72,,,,,,,
20,JR_080218_77,sblnk,,,,,2985.646,,,,,,,
21,JR_080218_78,20,Standard,20,,,3196.947,,,,,,,
22,JR_080218_79,20,Standard,20,,,2877.08,,,,,,,
23,JR_080218_80,50,Standard,50,,,2605.7,,,,,,,
24,JR_080218_81,100,Standard,100,,,2171.916,,,,,,,
,,,,,,,,,,,,,,
Compound 56:  EtFOSAA,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Name,Sample Text,Type,Std. Conc,RT,Area,IS Area,,Response,Detection Flags,Conc.,%Dev,%Rec,S/N
1,JR_080218_06,20,Standard,20,,,1970.215,,,,,,,
2,JR_080218_07,50,Standard,50,,,2530.878,,,,,,,
3,JR_080218_08,100,Standard,100,,,2267.45,,,,,,,
4,JR_080218_09,250,Standard,250,,,2411.099,,,,,,,
5,JR_080218_10,500,Standard,500,,,2506.355,,,,,,,
6,JR_080218_11,be,Recovery,500,,,23.242,,,,,,,
7,JR_080218_12,2000,Standard,2000,,,2001.425,,,,,,,
8,JR_080218_13,10000,Standard,10000,,,1850.219,,,,,,,
9,JR_080218_62,NG pblnk,,,,,699.518,,,,,,,
10,JR_080218_63,NG tris n=1,,,,,344.519,,,,,,,
11,JR_080218_64,NG tris n=2,,,,,630.58,,,,,,,
12,JR_080218_65,NG tris n=3,,,,,161.263,,,,,,,
13,JR_080218_66,NG tris n=4,,,,,118.907,,,,,,,
14,JR_080218_67,NG EDTA,,,,,347.543,,,,,,,
15,JR_080218_68,NG PBS,,,,,401.935,,,,,,,
16,JR_080218_69,NG ???,,,,,686.93,,,,,,,
17,JR_080218_70,sblnk,,,,,2777.913,,,,,,,
18,JR_080218_71,50,,,,,3342.154,,,,,,,
19,JR_080218_72,100,,,,,2662.72,,,,,,,
20,JR_080218_77,sblnk,,,,,2985.646,,,,,,,
